Тюльпан Антрацит, махр.поздн, 11/12, - 10шт;0;;;;Тюльпан Антрацит, махр.поздн, 11/12, - 10шт;1341;Тюльпан;Антрацит;10шт;11/12;.;LKV2001341;4607109962695;;;;;;;;;;;;;;;;;;;;;;;1341;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962695;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Апельдоорн, дарв., 11/12, - 10шт;0;;;;Тюльпан Апельдоорн, дарв., 11/12, - 10шт;9295;Тюльпан;Апельдоорн;10шт;11/12;.;LKV2009295;4607109916070;;;;;;;;;;;;;;;;;;;;;;;9295;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916070;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Апельдоорнс Элит, дарв., 11/12, - 10шт;0;;;;Тюльпан Апельдоорнс Элит, дарв., 11/12, - 10шт;6280;Тюльпан;Апельдоорнс Элит;10шт;11/12;.;LKV2006280;4607109916063;;;;;;;;;;;;;;;;;;;;;;;6280;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916063;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Афродита, триумф, 11/12, - 10шт;0;;;;Тюльпан Афродита, триумф, 11/12, - 10шт;9262;Тюльпан;Афродита;10шт;11/12;.;LKV2009262;4607109916056;;;;;;;;;;;;;;;;;;;;;;;9262;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109916056;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Априкот Пэррот, попуг., 11/12, - 10шт;0;;;;Тюльпан Априкот Пэррот, попуг., 11/12, - 10шт;1371;Тюльпан;Априкот Пэррот;10шт;11/12;.;LKV2001371;4607109962701;;;;;;;;;;;;;;;;;;;;;;;1371;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962701;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Акварель, триумф, 11/12, - 10шт;0;;;;Тюльпан Акварель, триумф, 11/12, - 10шт;7456;Тюльпан;Акварель;10шт;11/12;.;LKV2007456;4607109939079;;;;;;;;;;;;;;;;;;;;;;;7456;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109939079;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Акилла, 2й эффект, 11/12, - 10шт;0;;;;Тюльпан Акилла, 2й эффект, 11/12, - 10шт;2392;Тюльпан;Акилла;10шт;11/12;.;LKV2002392;4607109966402;;;;;;;;;;;;;;;;;;;;;;;2392;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109966402;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Арабиан Бьюти, триумф, 11/12, - 10шт;0;;;;Тюльпан Арабиан Бьюти, триумф, 11/12, - 10шт;6039;Тюльпан;Арабиан Бьюти;10шт;11/12;.;LKV2006039;4607109931059;;;;;;;;;;;;;;;;;;;;;;;6039;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931059;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Арабиан Мистери, триумф, 11/12, - 10шт;0;;;;Тюльпан Арабиан Мистери, триумф, 11/12, - 10шт;1389;Тюльпан;Арабиан Мистери;10шт;11/12;.;LKV2001389;4607109962718;;;;;;;;;;;;;;;;;;;;;;;1389;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962718;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тюльпан Ариа Кард, бахр., 11/12, - 7шт;0;;;;Тюльпан Ариа Кард, бахр., 11/12, - 7шт;3253;Тюльпан;Ариа Кард;7шт;11/12;.;LKV2003253;4607109951071;;;;;;;;;;;;;;;;;;;;;;;3253;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109951071;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
