Лилия Фреклед Джой (аз.низк.), 10/12, - 7шт;0;;;;6390;Лилия;Фреклед Джой;7шт;10/12;.;LYL2006390;;;;;;;;;;;;;;;;;;;;;;;;6390;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931899;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Голден Джой (аз.низк.), 10/12;0;;;;4338;Лилия;Голден Джой;7шт;10/12;.;АЛЛ0004338;;;;;;;;;;;;;;;;;;;;;;;;4338;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109987599;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Айленд Джой (аз.низк.), 11/12, - 7шт;0;;;;5335;Лилия;Айленд Джой;7шт;11/12;.;LYL2005335;;;;;;;;;;;;;;;;;;;;;;;;5335;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937914;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Джозефс Джой (аз.низк.), 10/12, - 7шт;0;;;;10635;Лилия;Джозефс Джой;7шт;10/12;.;LYL2010635;;;;;;;;;;;;;;;;;;;;;;;;10635;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926819;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Джойз Микс (аз.низк.), 10/12, - 5шт;0;;;;13526;Лилия;Джойз Микс;5шт;10/12;.;LYL2013526;;;;;;;;;;;;;;;;;;;;;;;;13526;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920497;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Джульетс Джой (аз.низк.), 10/12, - 7шт;0;;;;10636;Лилия;Джульетс Джой;7шт;10/12;.;LYL2010636;;;;;;;;;;;;;;;;;;;;;;;;10636;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926802;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Латин Джой (аз.низк.), 10/12, - 7шт;0;;;;10637;Лилия;Латин Джой;7шт;10/12;.;LYL2010637;;;;;;;;;;;;;;;;;;;;;;;;10637;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926796;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Маджестик Джой (аз.низк.), 10/12, - 7шт;0;;;;6136;Лилия;Маджестик Джой;7шт;10/12;.;LYL2006136;;;;;;;;;;;;;;;;;;;;;;;;6136;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937891;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Маунтейн Джой (аз.низк.), 10/12;0;;;;7065;Лилия;Маунтейн Джой;7шт;10/12;.;АЛЛ0007065;;;;;;;;;;;;;;;;;;;;;;;;7065;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947098;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Панда Джой (аз.низк.), 10/12, - 7шт;0;;;;10638;Лилия;Панда Джой;7шт;10/12;.;LYL2010638;;;;;;;;;;;;;;;;;;;;;;;;10638;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926789;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Перфект Джой (аз.низк.), 10/12, - 7шт;0;;;;6138;Лилия;Перфект Джой;7шт;10/12;.;LYL2006138;;;;;;;;;;;;;;;;;;;;;;;;6138;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937877;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Пиппаз Джой (аз.низк.), 10/12, - 7шт;0;;;;13527;Лилия;Пиппаз Джой;7шт;10/12;.;LYL2013527;;;;;;;;;;;;;;;;;;;;;;;;13527;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920480;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Скарлет Джой (аз.низк.), 10/12;0;;;;13528;Лилия;Скарлет Джой;7шт;10/12;.;АЛЛ0013528;;;;;;;;;;;;;;;;;;;;;;;;13528;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920473;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Секрет Джой (аз.низк.), 10/12, - 7шт;0;;;;13529;Лилия;Секрет Джой;7шт;10/12;.;LYL2013529;;;;;;;;;;;;;;;;;;;;;;;;13529;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920466;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Солар Джой (аз.низк.), 10/12, - 7шт;0;;;;13530;Лилия;Солар Джой;7шт;10/12;.;LYL2013530;;;;;;;;;;;;;;;;;;;;;;;;13530;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920459;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Спраклинг Джой (аз.низк.), 10/12, - 7шт;0;;;;6137;Лилия;Спраклинг Джой;7шт;10/12;.;LYL2006137;;;;;;;;;;;;;;;;;;;;;;;;6137;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937884;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Сплендид Джой (аз.низк.), 10/12;0;;;;13531;Лилия;Сплендид Джой;7шт;10/12;.;АЛЛ0013531;;;;;;;;;;;;;;;;;;;;;;;;13531;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920442;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Сансет Джой (аз.низк.), 10/12, - 7шт;0;;;;7070;Лилия;Сансет Джой;7шт;10/12;.;LYL2007070;;;;;;;;;;;;;;;;;;;;;;;;7070;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947142;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Танджерин Джой (аз.низк.), 11/12, - 7шт;0;;;;7072;Лилия;Танджерин Джой;7шт;11/12;.;LYL2007072;;;;;;;;;;;;;;;;;;;;;;;;7072;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109947166;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Виннинг Джой (аз.низк.), 11/12, - 7шт;0;;;;6391;Лилия;Виннинг Джой;7шт;11/12;.;LYL2006391;;;;;;;;;;;;;;;;;;;;;;;;6391;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109931882;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Баззер (аз.низк.), 10/12, - 5шт;0;;;;3625;Лилия;Баззер;5шт;10/12;.;LYL2003625;;;;;;;;;;;;;;;;;;;;;;;;3625;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109971581;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Голден Матрикс (аз.низк.), 10/12, - 5шт;0;;;;7054;Лилия;Голден Матрикс;5шт;10/12;.;LYL2007054;;;;;;;;;;;;;;;;;;;;;;;;7054;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109946985;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Голдвинг (аз.низк.), 10/12, - 5шт;0;;;;4330;Лилия;Голдвинг;5шт;10/12;.;LYL2004330;;;;;;;;;;;;;;;;;;;;;;;;4330;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109987513;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Гвен (аз.низк.), 10/12, - 5шт;0;;;;13532;Лилия;Гвен;5шт;10/12;.;LYL2013532;;;;;;;;;;;;;;;;;;;;;;;;13532;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920435;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Хэппи Мемориез (аз.низк.), 12/14;0;;;;13533;Лилия;Хэппи Мемориез;5шт;12/14;.;АЛЛ0013533;;;;;;;;;;;;;;;;;;;;;;;;13533;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920428;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Матрикс (аз.низк.), 10/12;0;;;;434;Лилия;Матрикс;7шт;10/12;.;АЛЛ0000434;;;;;;;;;;;;;;;;;;;;;;;;434;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109962244;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Салинеро (аз.низк.), 10/12, - 7шт;0;;;;13534;Лилия;Салинеро;7шт;10/12;.;LYL2013534;;;;;;;;;;;;;;;;;;;;;;;;13534;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920411;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Америка (аз.), 12/14, - 5шт;0;;;;152;Лилия;Америка;5шт;12/14;.;LYL2000152;;;;;;;;;;;;;;;;;;;;;;;;152;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109960103;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Ароза Джуел (аз.), 12/14, - 5шт;0;;;;2760;Лилия;Ароза Джуел;5шт;12/14;.;LYL2002760;;;;;;;;;;;;;;;;;;;;;;;;2760;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109960905;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блэк Энд Брайт, Микс (аз.), 12/14, - 2шт;0;;;;13535;Лилия;Блэк Энд Брайт, Микс;2шт;12/14;.;LYL2013535;;;;;;;;;;;;;;;;;;;;;;;;13535;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920404;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блэк Шарм (аз.), 10/12, - 7шт;0;;;;1541;Лилия;Блэк Шарм;7шт;10/12;.;LYL2001541;;;;;;;;;;;;;;;;;;;;;;;;1541;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109930410;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блэк Джек (аз.), 12/14, - 5шт;0;;;;2761;Лилия;Блэк Джек;5шт;12/14;.;LYL2002761;;;;;;;;;;;;;;;;;;;;;;;;2761;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109960509;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блек Аут (аз.), 12/14, - 5шт;0;;;;153;Лилия;Блек Аут;5шт;12/14;.;LYL2000153;;;;;;;;;;;;;;;;;;;;;;;;153;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109960127;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Блэклист (аз.), 12/14;0;;;;13536;Лилия;Блэклист;7шт;12/14;.;АЛЛ0013536;;;;;;;;;;;;;;;;;;;;;;;;13536;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109920398;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Брунелло (аз.), 10/12, - 10шт;0;;;;2762;Лилия;Брунелло;10шт;10/12;.;LYL2002762;;;;;;;;;;;;;;;;;;;;;;;;2762;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109967546;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Кампече (аз.), 12/14, - 5шт;0;;;;5337;Лилия;Кампече;5шт;12/14;.;LYL2005337;;;;;;;;;;;;;;;;;;;;;;;;5337;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109937860;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Кьянти (аз.), 12/14, - 5шт;0;;;;155;Лилия;Кьянти;5шт;12/14;.;LYL2000155;;;;;;;;;;;;;;;;;;;;;;;;155;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109960141;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Дарк Секрет (аз.), 12/14, - 5шт;0;;;;10639;Лилия;Дарк Секрет;5шт;12/14;.;LYL2010639;;;;;;;;;;;;;;;;;;;;;;;;10639;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109926918;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Ландини (аз.), 12/14, - 5шт;0;;;;430;Лилия;Ландини;5шт;10/12;.;LYL2000430;;;;;;;;;;;;;;;;;;;;;;;;430;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109961780;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Лилия Мапира (аз.), 12/14, - 5шт;0;;;;154;Лилия;Мапира;5шт;12/14;.;LYL2000154;;;;;;;;;;;;;;;;;;;;;;;;154;На ящик наклейка;;0;0;0;0;0;3;3;0;4607109979440;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
